Cocktail Name,Ingredients,Preparation
Scotch Sour,"Cherry, Lemon, Powdered sugar, Lime, Scotch, ","Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve."
Screwdriver,"Orange juice, Vodka, ",Mix in a highball glass with ice. Garnish and serve.
Sherry Flip,"Nutmeg, Egg, Powdered sugar, Light cream, Sherry, ",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
Sweet Tooth,"Milk, Godiva liqueur, ","Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like."
Sol Y Sombra,"Anisette, Brandy, ","Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)"
Shark Attack,"Vodka, Water, Lemonade, ",Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
Sherry Eggnog,"Nutmeg, Milk, Egg, Powdered sugar, Sherry, ","Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve."
Sweet Bananas,"Honey, Banana, Milk, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Sweet Sangria,"Fresca, Lemon, Lime, Orange, Apple, Water, Sugar, Red wine, ","Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
San Francisco,"Orange juice, Grenadine, Creme de Banane, Vodka, ","Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry."
Space Odyssey,"Cherries, Grenadine, Orange juice, Pineapple juice, Malibu rum, 151 proof rum, ",Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.
Scotch Cobbler,"Mint, Orange, Curacao, Brandy, Scotch, ","Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve."
Thriller,"Orange juice, Wine, Scotch, ","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Tia-Maria,"Vanilla extract, Rum, Coffee, Brown sugar, Water, ","Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using."
Tipperary,"Green Chartreuse, Sweet Vermouth, Irish Whiskey, ","Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist."
Turkeyball,"Pineapple juice, Amaretto, Wild Turkey, ",Shake with ice and strain into a shot glass.
Tom Collins,"Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Gin, ","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
Tomato Tang,"Celery salt, Lemon juice, Tomato juice, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Thai Coffee,"Ice, Whipping cream, Sugar, Cardamom, Coriander, Coffee, ","Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away."
Texas Sling,"Cream, 151 proof rum, Amaretto, Irish cream, Kahlua, ","Blend with Ice until smooth. Serve in a tulip glass, top with whip cream."
Tequila Fizz,"Ginger ale, Egg white, Grenadine, Lemon juice, Tequila, ","Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve."
Tequila Sour,"Cherry, Lemon, Powdered sugar, Lemon, Tequila, ","Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve."
Talos Coffee,"Coffee, Grand Marnier, ",Add your GM and then add your coffee.
Tennesee Mud,"Whipped cream, Amaretto, Jack Daniels, Coffee, ","Mix Coffee, Jack Daniels and Amaretto. Add Cream on top."
Turf Cocktail,"Orange peel, Bitters, Anis, Gin, Dry Vermouth, ",Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.
Thai Iced Tea,"Mint, Ice, Condensed milk, Water, Tea, ","Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings."
The Last Word,"Lime Juice, Maraschino Liqueur, Green Chartreuse, ",Shake with ice and strain into a cocktail glass.
The Laverstoke,"Mint, Ginger, Lime, Tonic Water, Rosso Vermouth, Elderflower cordial, Gin, ","1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped ginger slice and an awoken mint sprig."
Tuxedo Cocktail,"Cherry, Orange bitters, Anis, Maraschino liqueur, Gin, Dry Vermouth, ",Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.
Tequila Sunrise,"Grenadine, Orange juice, Tequila, ","Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
Tequila Slammer,"7-up, Tequila, ",Mix carefully to avoid releasing the dissolved CO2.
The Philosopher,"Prosecco, Lemon Juice, Orange Bitters, Melon Liqueur, Gin, ","Add all the spirits in a shaker (best to use Hendricks gin) as well as the orange bitters and lemon juice. Strain into a Margarita glass, top with Prosecco."
Thai Iced Coffee,"Cardamom, Cream, Sugar, Coffee, ","Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee."
Tequila Surprise,"Tabasco sauce, Tequila, ",Fill shot glass with Tequila. Add drops of Tobasco sauce.
The Jimmy Conway,"Cranberry Juice, Amaretto, Irish Whiskey, ","Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry Juice
Garnish with a slice of lemon…Enjoy!"
Texas Rattlesnake,"Sweet and sour, Southern Comfort, Cherry brandy, Yukon Jack, ","Mix all ingredients and Shake well. Sweet at first, with a BITE at the end..."
Tommy's Margarita,"Agave syrup, Lime Juice, Tequila, ",Shake and strain into a chilled cocktail glass.
Victor,"Brandy, Sweet Vermouth, Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Vesper,"Lillet Blanc, Vodka, Gin, ","Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel."
Vesuvio,"Egg white, Powdered sugar, Lemon, Sweet Vermouth, Light rum, ","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
Veteran,"Cherry brandy, Dark rum, ",Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.
Vampiro,"Salt, Sugar Syrup, Lime Juice, Orange Juice, Tomato Juice, Tequila, ","Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended."
Van Vleet,"Lemon juice, Maple syrup, Light rum, ","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
Vodka Fizz,"Nutmeg, Ice, Limeade, Half-and-half, Vodka, ","Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top."
Vodka Martini,"Olive, Dry Vermouth, Vodka, ","Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve."
Vodka Russian,"Schweppes Russchian, Vodka, ",Mix it as a ordinary drink .
Vermouth Cassis,"Carbonated water, Creme de Cassis, Dry Vermouth, ","Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve."
Victory Collins,"Orange, Powdered sugar, Grape juice, Lemon juice, Vodka, ",Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.
Vodka And Tonic,"Tonic water, Vodka, ","Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve."
Valencia Cocktail,"Orange bitters, Orange juice, Apricot brandy, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Whisky Mac,"Wine, Scotch, ",Pour both of the ingredients into a wine goblet with no ice.
Wine Punch,"Pineapple juice, Orange, Orange juice, Lemon, Red wine, ",Combine all of the ingredients and pour over a block of ice.
White Lady,"Lemon Juice, Triple Sec, Gin, ",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.
Wine Cooler,"Ice, Lemon-lime soda, Red wine, ",Mix wine and soft drink. Pour into glass. Add ice.
Whiskey Sour,"Lemon, Cherry, Powdered sugar, Lemon, Blended whiskey, ","Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice."
White Russian,"Light cream, Coffee liqueur, Vodka, ",Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.
Whitecap Margarita,"Lime juice, Cream of coconut, Tequila, Ice, ",Place all ingredients in a blender and blend until smooth. This makes one drink.
White Wine Sangria,"Soda Water, Apple Brandy, Apple, Strawberries, White Wine, lemon, Lime, ","Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water."
Waikiki Beachcomber,"Pineapple juice, Gin, Triple sec, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Yellow Bird,"Lime Juice, Triple Sec, Galliano, White Rum, ",Shake and strain into a chilled cocktail glass
Yoghurt Cooler,"Ice, Fruit, Yoghurt, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up. Note: Use lots of ice in this one - great on hot days! To add ice: Remove the center of the cover while the blender is on - drop 3 or 4 ice cubs and blend until they're completely crushed."
Zorro,"White Creme de Menthe, Baileys irish cream, Sambuca, ",add all and pour black coffee and add whipped cream on top.
Zinger,"Surge, Peachtree schnapps, ",Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.
Zoksel,"Lemon, Creme de Cassis, 7-Up, Coca-Cola, Lemonade, Root beer, Beer, ","No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it."
Zombie,"Angostura Bitters, Lime Juice, Grenadine, Pernod, 151 proof rum, Gold rum, Rum, ","
Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together."
Zambeer,"Ice, Root beer, Sambuca, ",Mix sambuca with rootbeer and stir. Add ice
Zorbatini,"Ouzo, Vodka, ",Prepare like a Martini. Garnish with a green olive.
Zenmeister,"Root beer, Jägermeister, ",Mix together and enjoy
Zipperhead,"Soda water, Vodka, Chambord raspberry liqueur, ","Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top)."
Zima Blaster,"Chambord raspberry liqueur, Zima, ","Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy."
Zizi Coin-coin,"Lemon, Ice, Lemon juice, Cointreau, ","Pour 5cl of Cointreau on ice, add 2cl of fresh lemon (or lime) juice, stir gently, and finally add slices of lemon/lime in glass."
Zippy's Revenge,"Kool-Aid, Rum, Amaretto, ",Mix Kool-Aid to taste then add Rum and ammaretto. shake well to disolve the sugar in the Kool-Aid... serve cold
Zimadori Zinger,"Zima, Midori melon liqueur, ",Pour Zima in a collins glass over ice and then pour the shot of Midori. Don't stir. Garnish with a cherry.
Ziemes Martini Apfelsaft,"Apple juice, Vermouth, ",Serve without ice. At least the juice shold have room temperature.
'57 Chevy with a White License Plate,"Vodka, Creme de Cacao, ",1. Fill a rocks glass with ice 2.add white creme de cacao and vodka 3.stir
Sex on the Beach,"1 oz Vodka, 3/4 oz Peach Schnapps, Cranberry juice, Grapefruit Juice",Build all ingredients in a highball glass filled with ice. Garnish with orange slice.
